What are the room types available for hotel OYO Rooms Madhapur?	MATCH(h:Hotel)<-[:Available_In]-(r:Room) WHERE h.hotelName="OYO Rooms Madhapur" RETURN DISTINCT(r.roomTypeName) AS RoomType
What are the room types of oyo rooms madhapur?	MATCH(h:Hotel)<-[:Available_In]-(r:Room) WHERE h.hotelName="OYO Rooms Madhapur" RETURN DISTINCT(r.roomTypeName) AS RoomType
What are the room types of OYO Rooms Madhapur?	MATCH(h:Hotel)<-[:Available_In]-(r:Room) WHERE h.hotelName="OYO Rooms Madhapur" RETURN DISTINCT(r.roomTypeName) AS RoomType
What are the room types available for hotel oyo rooms madhapur?	MATCH(h:Hotel)<-[:Available_In]-(r:Room) WHERE h.hotelName="OYO Rooms Madhapur" RETURN DISTINCT(r.roomTypeName) AS RoomType
Show me the room types of OYO Rooms Madhapur ?	MATCH(h:Hotel)<-[:Available_In]-(r:Room) WHERE h.hotelName="OYO Rooms Madhapur" RETURN DISTINCT(r.roomTypeName) AS RoomType
Show me the room types of oyo rooms madhapur ?	MATCH(h:Hotel)<-[:Available_In]-(r:Room) WHERE h.hotelName="OYO Rooms Madhapur" RETURN DISTINCT(r.roomTypeName) AS RoomType
What are the room types available for hotel OYO 39829 Kum Kum Palace Hotel Saver?	MATCH(h:Hotel)<-[:Available_In]-(r:Room) WHERE h.hotelName="OYO 39829 Kum Kum Palace Hotel Saver" RETURN DISTINCT(r.roomTypeName) AS RoomType
What are the room types of oyo 39829 kum kum palace hotel saver?	MATCH(h:Hotel)<-[:Available_In]-(r:Room) WHERE h.hotelName="OYO 39829 Kum Kum Palace Hotel Saver" RETURN DISTINCT(r.roomTypeName) AS RoomType
what are the room types of OYO 39829 Kum Kum Palace Hotel Saver?	MATCH(h:Hotel)<-[:Available_In]-(r:Room) WHERE h.hotelName="OYO 39829 Kum Kum Palace Hotel Saver" RETURN DISTINCT(r.roomTypeName) AS RoomType
What are the Room types available for hotel oyo 39829 kum kum palace hotel saver?	MATCH(h:Hotel)<-[:Available_In]-(r:Room) WHERE h.hotelName="OYO 39829 Kum Kum Palace Hotel Saver" RETURN DISTINCT(r.roomTypeName) AS RoomType
show me the room types of oyo 39829 kum kum palace hotel saver ?	MATCH(h:Hotel)<-[:Available_In]-(r:Room) WHERE h.hotelName="OYO 39829 Kum Kum Palace Hotel Saver" RETURN DISTINCT(r.roomTypeName) AS RoomType
